tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1996-7308,Adelaide,Hard,32,A,19960101,1,K267,1,,Yevgeny Kafelnikov,R,190,RUS,21.867,6,,L226,,Q,Sebastien Lareau,R,183,CAN,22.68,136,,6-2 7-6(6),3,R32,75,6,3,67,41,31,12,10,3,5,4,5,62,40,24,8,10,2,6
1996-7308,Adelaide,Hard,32,A,19960101,2,W035,,,Mark Woodforde,L,188,AUS,30.272,51,,C260,,WC,Andrei Cherkasov,R,180,RUS,25.495,184,,6-3 5-7 6-2,3,R32,121,8,2,88,50,38,20,15,3,5,2,8,102,80,51,7,14,9,13
1996-7308,Adelaide,Hard,32,A,19960101,3,D270,,,Scott Draper,L,178,AUS,21.574,87,,A199,,,Chuck Adams,R,185,USA,24.693,224,,4-6 7-5 6-3,3,R32,125,8,3,95,55,42,25,16,7,8,5,5,105,63,47,21,15,6,8
1996-7308,Adelaide,Hard,32,A,19960101,4,R237,7,,Greg Rusedski,L,193,GBR,22.319,37,,F035,,,Guy Forget,L,190,FRA,30.99,71,,6-7(1) 7-6(6) 7-6(5),3,R32,167,18,6,133,72,56,32,18,4,6,12,6,135,74,59,29,18,9,11
1996-7308,Adelaide,Hard,32,A,19960101,5,F192,3,,Renzo Furlan,R,175,ITA,25.626,29,,M338,,,Shuzo Matsuoka,R,185,JPN,28.153,63,,6-4 6-7(5) 6-3,3,R32,160,2,3,118,74,48,23,16,6,8,2,7,119,71,46,23,15,8,12
1996-7308,Adelaide,Hard,32,A,19960101,6,K237,,,Karol Kucera,R,188,SVK,21.829,79,,S331,,,Jason Stoltenberg,R,185,AUS,25.744,80,,6-1 6-4,3,R32,71,1,1,61,38,25,15,9,2,3,2,1,52,35,18,7,8,2,6
1996-7308,Adelaide,Hard,32,A,19960101,7,S080,,,Carl-Uwe Steeb,L,180,GER,28.334,67,,F164,,WC,Richard Fromberg,R,196,AUS,25.678,85,,3-6 6-1 7-6(4),3,R32,105,5,1,89,56,44,21,14,7,8,11,4,81,53,36,18,14,1,3
1996-7308,Adelaide,Hard,32,A,19960101,8,F041,,,Javier Frana,L,185,ARG,29.018,58,,W136,5,,Todd Woodbridge,R,178,AUS,24.75,33,,7-6(13) 6-7(1) 6-3,3,R32,148,11,4,110,66,55,22,16,3,4,3,3,131,82,58,25,17,7,10
1996-7308,Adelaide,Hard,32,A,19960101,9,H191,,,Henrik Holm,R,183,SWE,27.359,82,,H025,6,,Jakob Hlasek,R,188,SUI,31.135,35,,6-7(10) 6-3 7-6(4),3,R32,143,12,10,134,73,57,30,17,8,10,4,4,114,73,47,24,16,3,6
1996-7308,Adelaide,Hard,32,A,19960101,10,R273,,Q,Joern Renzenbrink,R,196,GER,23.458,168,,K296,,,Jan Kroslak,R,188,SVK,21.207,97,,7-5 3-1 RET,3,R32,74,5,3,49,30,24,10,9,2,3,0,2,74,52,28,12,8,4,7
